model_name,organization,release_date,source_url,report_path,notes,ARC-Challenge,ARC-Challenge__setting,BIG-Bench Hard,BIG-Bench Hard__setting,CSQA,CSQA__setting,DROP,DROP__setting,GPQA,GPQA__setting,GPQA (Diamond),GPQA (Diamond)__setting,GSM8K,GSM8K__setting,HellaSwag,HellaSwag__setting,HumanEval,HumanEval__setting,HumanEval+,HumanEval+__setting,MATH,MATH__setting,MBPP,MBPP__setting,MBPP+,MBPP+__setting,MGSM,MGSM__setting,MMLU,MMLU__setting,MMLU-Pro,MMLU-Pro__setting,MMLU-redux,MMLU-redux__setting,MMLU-stem,MMLU-stem__setting,Multi-Exam,Multi-Exam__setting,Multi-Mathematics,Multi-Mathematics__setting,Multi-Translation,Multi-Translation__setting,Multi-Understanding,Multi-Understanding__setting,MultiPL-E,MultiPL-E__setting,Natural Questions,Natural Questions__setting,TheoremQA,TheoremQA__setting,TriviaQA,TriviaQA__setting,TruthfulQA,TruthfulQA__setting,WinoGrande,WinoGrande__setting,C-Eval,C-Eval__setting,CMMLU,CMMLU__setting,IFEval,IFEval__setting
Code Llama 34B,Meta,2023-08-24,https://about.fb.com/news/2023/08/code-llama-ai-for-coding/,open reports/combined_report.md,"Open weights; 34B parameters. Benchmarks from Code Llama paper (arXiv 2308.12950v3), Table 2.",,,,,,,,,,,,,,,,,48.8,"0-shot, pass@1 (greedy)",,,,,55.0,"3-shot, pass@1 (greedy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code Llama 7B,Meta,2023-08-24,https://about.fb.com/news/2023/08/code-llama-ai-for-coding/,open reports/combined_report.md,"Open weights; 7B parameters. Benchmarks from Code Llama paper (arXiv 2308.12950v3), Table 2.",,,,,,,,,,,,,,,,,33.5,"0-shot, pass@1 (greedy)",,,,,41.4,"3-shot, pass@1 (greedy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baichuan2 13B,Baichuan,2023-09-06,https://github.com/baichuan-inc/Baichuan-7B,reports/combined_report.md,Open weights; 13B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baichuan2 7B,Baichuan,2023-09-06,https://github.com/baichuan-inc/Baichuan-7B,reports/combined_report.md,Open weights; 7B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen 14B,Alibaba,2023-09-25,https://qwenlm.github.io/blog/qwen/,open reports/combined_report.md,Open weights; 14B parameters.,,,53.4 (reported score),3-shot,,,,,,,,,61.3 (reported score),8-shot,,,32.3 (reported score),0-shot,,,24.8 (reported score),4-shot,40.8 (reported score),3-shot,,,,,66.3 (reported score),5-shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistral 7B,Mistral AI,2023-09-27,https://mistral.ai/news/announcing-mistral-7b,open reports/combined_report.md,Open weights; 7B parameters. Benchmarks from Mixtral of Experts paper (arXiv 2401.04088) Table 2; MBPP uses hand-verified subset and TriviaQA has no Wikipedia context (per paper).,54.9,0-shot,,,,,,,,,,,50.0,8-shot (maj@8),81.0,0-shot,26.2,0-shot,,,12.7,4-shot (maj@4),50.2,3-shot (hand-verified subset),,,,,62.5,5-shot,,,,,,,,,,,,,,,,,23.2,5-shot,,,62.5,5-shot (no Wikipedia context),,,74.2,0-shot,,,,,,
Yi 34B,01.AI,2023-11-02,https://github.com/01-ai/Yi,reports/combined_report.md,Open weights; 34B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yi 6B,01.AI,2023-11-02,https://github.com/01-ai/Yi,reports/combined_report.md,Open weights; 6B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen 1.8B,Alibaba,2023-11-30,https://qwenlm.github.io/blog/qwen/,open reports/combined_report.md,Open weights; 1.8B parameters.,,,,,,,,,,,,,32.3 (reported score),8-shot,,,15.2 (reported score),0-shot,,,,,,,,,,,45.3 (reported score),5-shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen 72B,Alibaba,2023-11-30,https://qwenlm.github.io/blog/qwen/,open reports/combined_report.md,Open weights; 72B parameters.,,,67.7 (reported score),3-shot,,,,,,,,,78.9 (reported score),8-shot,,,35.4 (reported score),0-shot,,,35.2 (reported score),4-shot,52.2 (reported score),3-shot,,,,,77.4 (reported score),5-shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixtral 8x7B,Mistral AI,2023-12-11,https://legal.mistral.ai/ai-governance/models/mixtral-8-7b,open reports/combined_report.md,Open weights; MoE 46.7B total parameters. Benchmarks from Mixtral of Experts paper (arXiv 2401.04088) Table 2; MBPP uses hand-verified subset and TriviaQA has no Wikipedia context (per paper).,59.7,0-shot,,,,,,,,,,,74.4,8-shot (maj@8),84.4,0-shot,40.2,0-shot,,,28.4,4-shot (maj@4),60.7,3-shot (hand-verified subset),,,,,70.6,5-shot,,,,,,,,,,,,,,,,,30.6,5-shot,,,71.5,5-shot (no Wikipedia context),,,77.2,0-shot,,,,,,
Phi-2 2.7B,Microsoft,2023-12-12,https://www.microsoft.com/en-us/research/blog/phi-2-the-surprising-power-of-small-language-models/,open reports/combined_report.md,Open weights; 2.7B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InternLM2 20B,Shanghai AI Laboratory,2024-01-17,https://github.com/InternLM/InternLM,reports/combined_report.md,Open weights; 20B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InternLM2 7B,Shanghai AI Laboratory,2024-01-17,https://github.com/InternLM/InternLM,reports/combined_report.md,Open weights; 7B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InternLM2 1.8B,Shanghai AI Laboratory,2024-01-31,https://github.com/InternLM/InternLM,reports/combined_report.md,Open weights; 1.8B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLMo 1B,Ai2,2024-02-01,https://allenai-web-sandbox.allen.ai/olmo/release-notes,open reports/combined_report.md,Open weights; 1B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLMo 7B,Ai2,2024-02-01,https://allenai-web-sandbox.allen.ai/olmo/release-notes,open reports/combined_report.md,Open weights; 7B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen1.5 1.8B,Alibaba,2024-02-04,https://qwenlm.github.io/blog/qwen1.5/,open reports/combined_report.md,Open weights; 1.8B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen1.5 110B,Alibaba,2024-02-04,https://qwenlm.github.io/blog/qwen1.5/,open reports/combined_report.md,Open weights; 110B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen1.5 14B,Alibaba,2024-02-04,https://qwenlm.github.io/blog/qwen1.5/,open reports/combined_report.md,Open weights; 14B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen1.5 32B,Alibaba,2024-02-04,https://qwenlm.github.io/blog/qwen1.5/,open reports/combined_report.md,Open weights; 32B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen1.5 4B,Alibaba,2024-02-04,https://qwenlm.github.io/blog/qwen1.5/,open reports/combined_report.md,Open weights; 4B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen1.5 72B,Alibaba,2024-02-04,https://qwenlm.github.io/blog/qwen1.5/,open reports/combined_report.md,Open weights; 72B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen1.5 7B,Alibaba,2024-02-04,https://qwenlm.github.io/blog/qwen1.5/,open reports/combined_report.md,Open weights; 7B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemma 2B,Google,2024-02-21,https://ai.google.dev/gemma/docs/releases,open reports/combined_report.md,Open weights; 2B parameters. Benchmarks from Gemma model card (PT results table).,42.1,ARC-c,,,,,,,,,,,17.7,maj@1,71.4,0-shot,22.0,pass@1,,,11.8,4-shot,29.2,3-shot,,,,,42.3,"5-shot, top-1",,,,,,,,,,,,,,,,,12.5,5-shot,,,53.2,5-shot,,,65.4,partial score,,,,,,
Gemma 7B,Google,2024-02-21,https://ai.google.dev/gemma/docs/releases,open reports/combined_report.md,Open weights; 7B parameters. Benchmarks from Gemma model card (PT results table).,53.2,ARC-c,,,,,,,,,,,46.4,maj@1,81.2,0-shot,32.3,pass@1,,,24.3,4-shot,44.4,3-shot,,,,,64.3,"5-shot, top-1",,,,,,,,,,,,,,,,,23.0,5-shot,,,63.4,5-shot,,,72.3,partial score,,,,,,
StarCoder2 15B,BigCode,2024-02-28,https://huggingface.co/blog/starcoder2,reports/combined_report.md,Open weights; 15B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StarCoder2 3B,BigCode,2024-02-28,https://huggingface.co/blog/starcoder2,reports/combined_report.md,Open weights; 3B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StarCoder2 7B,BigCode,2024-02-28,https://huggingface.co/blog/starcoder2,reports/combined_report.md,Open weights; 7B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBRX 132B,Databricks,2024-03-27,https://www.databricks.com/company/newsroom/press-releases/databricks-launches-dbrx-new-standard-efficient-open-source-models,open reports/combined_report.md,Open weights; MoE 132B total parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stable LM 2 1.6B,Stability AI,2024-04-08,https://stability.ai/news/introducing-stable-lm-2-12b,open reports/combined_report.md,Open weights; 1.6B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stable LM 2 12B,Stability AI,2024-04-08,https://stability.ai/news/introducing-stable-lm-2-12b,open reports/combined_report.md,Open weights; 12B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeGemma 2B,Google,2024-04-09,https://developers.googleblog.com/en/gemma-family-expands-with-models-tailored-for-developers-and-researchers/,reports/combined_report.md,Open weights; 2B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeGemma 7B,Google,2024-04-09,https://developers.googleblog.com/en/gemma-family-expands-with-models-tailored-for-developers-and-researchers/,reports/combined_report.md,Open weights; 7B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixtral 8x22B,Mistral AI,2024-04-17,https://mistral.ai/news/mixtral-8x22b/,open reports/combined_report.md,"Open weights; MoE 141B total parameters. Benchmarks from Mistral AI Mixtral 8x22B blog; values are for instructed version (GSM8K maj@8, Math maj@4).",,,,,,,,,,,,,90.8,"maj@8 (8-shot, instruct)",,,,,,,44.6,maj@4 (instruct),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama 3 70B,Meta,2024-04-18,https://about.fb.com/ltam/news/2024/04/presentamos-meta-llama-3-el-modelo-de-lenguaje-de-gran-tamano-mas-potente-hasta-la-fecha/,open reports/combined_report.md,Open weights; 70B parameters. Benchmarks from Meta Llama 3 model card (base pretrained models table). Benchmarks from Llama 3 technical report (arXiv 2407.21783) base pretrained table.,64.6,25-shot,82.6,"3-shot, CoT",,,79.7,"3-shot, F1",41.7,,,,89.0,,85.3,,81.7,,,,66.6,,84.6,,,,,,79.5,5-shot,56.8,,71.0,,,,,,,,,,,,,,,,,,89.7,5-shot,,,83.1,5-shot,,,,,,
Llama 3 8B,Meta,2024-04-18,https://about.fb.com/ltam/news/2024/04/presentamos-meta-llama-3-el-modelo-de-lenguaje-de-gran-tamano-mas-potente-hasta-la-fecha/,open reports/combined_report.md,Open weights; 8B parameters. Benchmarks from Meta Llama 3 model card (base pretrained models table). Benchmarks from Llama 3 technical report (arXiv 2407.21783) base pretrained table.,63.7,25-shot,74.6,"3-shot, CoT",,,58.4,"3-shot, F1",34.2,,,,78.4,,80.5,,62.2,,,,50.4,,78.6,,,,,,68.4,5-shot,45.7,,64.3,,,,,,,,,,,,,,,,,,78.5,5-shot,,,76.1,5-shot,,,,,,
Phi-3 Mini 3.8B,Microsoft,2024-04-23,https://www.microsoft.com/en-us/research/publication/phi-3-technical-report-a-highly-capable-language-model-locally-on-your-phone/,open reports/combined_report.md,Open weights; 3.8B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcon 2 11B,Technology Innovation Institute,2024-05-13,https://www.tii.ae/index.php/news/falcon-2-uaes-technology-innovation-institute-releases-new-ai-model-series-outperforming-metas,open reports/combined_report.md,Open weights; 11B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yi-1.5-34B,01.AI,2024-05-13,https://github.com/01-ai/Yi,open reports/combined_report.md,Open-source release (Yi-1.5 announcement).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yi-1.5-6B,01.AI,2024-05-13,https://github.com/01-ai/Yi,open reports/combined_report.md,Open-source release (Yi-1.5 announcement).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yi-1.5-9B,01.AI,2024-05-13,https://github.com/01-ai/Yi,open reports/combined_report.md,Open-source release (Yi-1.5 announcement).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaliGemma 3B,Google,2024-05-14,https://ai.google.dev/gemma/docs/releases,open reports/combined_report.md,Open weights; 3B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phi-3 Medium 14B,Microsoft,2024-05-21,https://azure.microsoft.com/en-us/blog/new-models-added-to-the-phi-3-family-available-on-microsoft-azure/,reports/combined_report.md,Open weights; 14B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phi-3 Small 7B,Microsoft,2024-05-21,https://azure.microsoft.com/en-us/blog/new-models-added-to-the-phi-3-family-available-on-microsoft-azure/,reports/combined_report.md,Open weights; 7B parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen2 1.5B,Alibaba,2024-06-07,https://qwenlm.github.io/blog/qwen2/,open reports/combined_report.md,Open weights; 1.5B parameters.,43.9,25-shot,37.2,3-shot,,,,,,,,,58.5,4-shot,66.6,10-shot,31.1,0-shot (EvalPlus),,,21.7,4-shot,37.4,0-shot (EvalPlus),,,,,56.5,5-shot,21.8,5-shot,,,,,,,,,,,,,,,,,15.0,5-shot,,,45.9,0-shot,66.2,5-shot,70.6,5-shot,70.3,5-shot,,
Qwen2 57B-A14B,Alibaba,2024-06-07,https://qwenlm.github.io/blog/qwen2/,open reports/combined_report.md,Open weights; MoE 57B total parameters.,64.1,25-shot,67.0,3-shot,,,,,34.3,5-shot,,,80.7,4-shot,85.2,10-shot,53.0,0-shot (EvalPlus),,,43.0,4-shot,71.9,0-shot (EvalPlus),,,,,76.5,5-shot,43.0,5-shot,,,,,65.5,M3Exam 5-shot; IndoMMLU 3-shot; ruMMLU 5-shot; mMMLU 5-shot,62.3,MGSM 8-shot,34.5,Flores-101 5-shot,77.0,BELEBELE 5-shot; XCOPA 5-shot; XWinograd 5-shot; XStoryCloze 0-shot; PAWS-X 5-shot,49.8,0-shot,,,33.5,5-shot,,,57.7,0-shot,79.5,5-shot,87.7,5-shot,88.5,5-shot,,
Qwen2 72B,Alibaba,2024-06-07,https://qwenlm.github.io/blog/qwen2/,open reports/combined_report.md,Open weights; 72B parameters.,68.9,25-shot,82.4,3-shot,,,,,37.9,5-shot,,,89.5,4-shot,87.6,10-shot,64.6,0-shot (EvalPlus),,,51.1,4-shot,76.9,0-shot (EvalPlus),,,,,84.2,5-shot,55.6,5-shot,,,,,76.6,M3Exam 5-shot; IndoMMLU 3-shot; ruMMLU 5-shot; mMMLU 5-shot,76.0,MGSM 8-shot,37.8,Flores-101 5-shot,80.7,BELEBELE 5-shot; XCOPA 5-shot; XWinograd 5-shot; XStoryCloze 0-shot; PAWS-X 5-shot,59.6,0-shot,,,43.1,5-shot,,,54.8,0-shot,85.1,5-shot,91.0,5-shot,90.1,5-shot,,
Qwen2 7B,Alibaba,2024-06-07,https://qwenlm.github.io/blog/qwen2/,open reports/combined_report.md,Open weights; 7B parameters.,60.6,25-shot,62.6,3-shot,,,,,31.8,5-shot,,,79.9,4-shot,80.7,10-shot,51.2,0-shot (EvalPlus),,,44.2,4-shot,65.9,0-shot (EvalPlus),,,,,70.3,5-shot,40.0,5-shot,,,,,59.2,M3Exam 5-shot; IndoMMLU 3-shot; ruMMLU 5-shot; mMMLU 5-shot,57.5,MGSM 8-shot,31.5,Flores-101 5-shot,72.0,BELEBELE 5-shot; XCOPA 5-shot; XWinograd 5-shot; XStoryCloze 0-shot; PAWS-X 5-shot,46.3,0-shot,,,31.1,5-shot,,,54.2,0-shot,77.0,5-shot,83.2,5-shot,83.9,5-shot,,
Qwen2-1.5B,Alibaba (Qwen Team),2024-06-07,https://qwenlm.github.io/blog/qwen2/,open reports/combined_report.md,Open weights; Apache 2.0 license per Qwen2 release.,43.9,25-shot,37.2,3-shot,,,,,,,,,58.5,4-shot,66.6,10-shot,31.1,0-shot,,,21.7,4-shot,37.4,0-shot,,,,,56.5,5-shot,21.8,5-shot,,,,,,,,,,,,,,,,,15.0,5-shot,,,45.9,0-shot,66.2,5-shot,70.6,5-shot,70.3,5-shot,,
Qwen2-57B-A14B,Alibaba (Qwen Team),2024-06-07,https://qwenlm.github.io/blog/qwen2/,open reports/combined_report.md,Open weights; Apache 2.0 license per Qwen2 release.,64.1,25-shot,67.0,3-shot,,,,,34.3,5-shot,,,80.7,4-shot,85.2,10-shot,53.0,0-shot,,,43.0,4-shot,71.9,0-shot,,,,,76.5,5-shot,43.0,5-shot,,,,,65.5,M3Exam 5-shot; IndoMMLU 3-shot; ruMMLU 5-shot; mMMLU 5-shot,62.3,MGSM 8-shot,34.5,Flores-101 5-shot,77.0,BELEBELE 5-shot; XCOPA 5-shot; XWinograd 5-shot; XStoryCloze 0-shot; PAWS-X 5-shot,49.8,0-shot,,,33.5,5-shot,,,57.7,0-shot,79.5,5-shot,87.7,5-shot,88.5,5-shot,,
Qwen2-72B,Alibaba (Qwen Team),2024-06-07,https://qwenlm.github.io/blog/qwen2/,open reports/combined_report.md,Open weights; Qianwen License per Qwen2 release.,68.9,25-shot,82.4,3-shot,,,,,37.9,5-shot,,,89.5,4-shot,87.6,10-shot,64.6,0-shot,,,51.1,4-shot,76.9,0-shot,,,,,84.2,5-shot,55.6,5-shot,,,,,76.6,M3Exam 5-shot; IndoMMLU 3-shot; ruMMLU 5-shot; mMMLU 5-shot,76.0,MGSM 8-shot,37.8,Flores-101 5-shot,80.7,BELEBELE 5-shot; XCOPA 5-shot; XWinograd 5-shot; XStoryCloze 0-shot; PAWS-X 5-shot,59.6,0-shot,,,43.1,5-shot,,,54.8,0-shot,85.1,5-shot,91.0,5-shot,90.1,5-shot,,
Qwen2-7B,Alibaba (Qwen Team),2024-06-07,https://qwenlm.github.io/blog/qwen2/,open reports/combined_report.md,Open weights; Apache 2.0 license per Qwen2 release.,60.6,25-shot,62.6,3-shot,,,,,31.8,5-shot,,,79.9,4-shot,80.7,10-shot,51.2,0-shot,,,44.2,4-shot,65.9,0-shot,,,,,70.3,5-shot,40.0,5-shot,,,,,59.2,M3Exam 5-shot; IndoMMLU 3-shot; ruMMLU 5-shot; mMMLU 5-shot,57.5,MGSM 8-shot,31.5,Flores-101 5-shot,72.0,BELEBELE 5-shot; XCOPA 5-shot; XWinograd 5-shot; XStoryCloze 0-shot; PAWS-X 5-shot,46.3,0-shot,,,31.1,5-shot,,,54.2,0-shot,77.0,5-shot,83.2,5-shot,83.9,5-shot,,
RecurrentGemma 9B,Google,2024-06-11,https://ai.google.dev/gemma/docs/releases,reports/combined_report.md,Open weights; 9B parameters. Benchmarks from RecurrentGemma model card (base results table).,52.0,ARC-c,,,,,,,,,,,42.6,maj@1,80.4,0-shot,31.1,pass@1,,,23.8,4-shot,42.0,3-shot,,,,,60.5,"5-shot, top-1",,,,,,,,,,,,,,,,,21.7,5-shot,,,70.5,5-shot,,,73.6,partial score,,,,,,
Gemma 2 27B,Google,2024-06-27,https://blog.google/innovation-and-ai/technology/developers-tools/google-gemma-2/,open reports/combined_report.md,Open weights; 27B parameters. Benchmarks from Gemma 2 model card (PT results table).,71.4,ARC-c 25-shot,,,,,72.2,"3-shot, F1",,,,,74.0,"5-shot, maj@1",86.4,10-shot,51.8,pass@1,,,42.3,4-shot,62.6,3-shot,,,,,75.2,"5-shot, top-1",,,,,,,,,,,,,,,,,34.5,5-shot,,,83.7,5-shot,,,83.7,partial score,,,,,,
